Language,Question,Standard Answer,Generated Answer,Ifcorrect
English,"What does “þeod-cyninga, þrym gefrunon” mean？","[of] people-kings, trim (glory) afrained (have learned of by asking),","""þeod-cyninga, þrym gefrunon"" is a phrase in Old English that translates to ""the glory of kings, we have heard.""",1
English,What does “egsode eorl. Syððan ærest wearð ” mean？,"awed earls (leaders of men). Sith (since) erst (first) [he] worth (came to be)feasceaft funden, he þæs frofre gebad,	","The phrase ""egsode eorl. Syððan ærest wearð"" is Old English and translates to ""The noble warrior was horrified. Once he became the first.""",1
English,What does “Sōþlīċe ” mean？,Soothly,"""Sōþlīċe"" is an Old English word that translates to ""truly"" or ""truthfully"" in modern English.",1
English,"And ic cyðe eow, þæt ic wylle beon hold hlaford and unswicende to godes gerihtum and to rihtre woroldlage.","And I kithe(make known/couth to) you, that I will be [a] hold(civilised) lord and unswiking(uncheating) to God's rights(laws) and to [the] rights(laws) worldly.","I declare unto you, that I will be a loyal lord and unwavering in God's laws and in just governance.",1
English,"What does “ 	Tōbecume þīn rīċe,” mean？","Come thy riche (kingdom),","In Old English, ""Tōbecume þīn rīċe"" translates to ""Thy kingdom come"" in Modern English. The phrase is taken from the Lord's Prayer.",1
English,"What does “Whan that Aprill, with his shoures soote ” mean？",When [that] April with his showers sweet,"This phrase comes from the opening line of ""The Canterbury Tales"" by Geoffrey Chaucer and translates to ""When April with its sweet showers."" It is describing the arrival of spring with its gentle and refreshing rains.",1
English,What does “Inspired hath in every holt and heeth ” mean？,	Inspired has in every holt and heath,"This phrase comes from the last line of ""The Canterbury Tales"" by Geoffrey Chaucer. The phrase ""Inspired hath in every holt and heeth"" means that the inspiration for the story or tale has been found in every grove and heath. In this context, it suggests that inspiration can be found in all natural places, and that creativity can be drawn from the beauty of the natural world.",1
English,"What does “ Of Engelond, to Caunterbury they wende” mean？","Of England, to Canterbury they went","The phrase ""Of Engelond, to Caunterbury they wende"" is from the Prologue of Geoffrey Chaucer's ""The Canterbury Tales."" It means that a group of pilgrims from England are on their way to Canterbury.",1
English,What does “Thanne longen folk to goon on pilgrimages ” mean？,Then folk long to go on pilgrimages,"This phrase, taken from the opening lines of Geoffrey Chaucer's ""The Canterbury Tales,"" means that people feel a strong desire to go on pilgrimages. It suggests that people have a natural inclination to embark on spiritual journeys or quests in search of meaning or fulfillment.",1
English,"What does “ 	Fæder ūre þū þe eart on heofonum,” mean？","Father of ours, thou who art in heavens,","This phrase is the opening of the Lord's Prayer in Old English, which translates to ""Our Father, who art in heaven"" in modern English.",1
English,"What does “ easceaft funden, he þæs frofre gebad,” mean？","fewshiped (helpless, in ""fewship"") founden, he [in a state of] loving care abode (lived),","This is an Old English phrase that translates to ""Discovered the easy path, he enjoyed comfort.""",0
English,What does “Who art thou? ” mean？,Who are you?,"""Who art thou?"" is an archaic or formal way of asking ""Who are you?"" It is a question used to ask for the identity of a person.",1
English,What does “DM ” mean？,Direct Message,"""DM"" is an abbreviation that stands for ""Direct Message."" It is commonly used in social media platforms to refer to a private message sent between two users.",1
English,What does “LOL ” mean？,laugh out loud,"LOL stands for ""laugh out loud."" It is commonly used in online communication to indicate that something is funny or amusing.",1
English,What does “ dragon” mean？,A dragon is a magical legendary creature that appears in the folklore of multiple cultures worldwide. ,"A dragon is a mythical creature often depicted as a large, serpent-like creature with wings and the ability to breathe fire. Dragons are commonly found in folklore, mythology, and fantasy literature. They are often portrayed as powerful, majestic creatures that are both feared and respected.",1
English,What does “btw ” mean？,by the way,"""btw"" is an abbreviation for ""by the way."" It is commonly used in informal written communication such as texting, emails, and social media.",1
English,"What is the meaning of the term ""selfie""?",A self-portrait photograph taken with a smartphone.,"A ""selfie"" is a self-portrait photograph taken with a smartphone or camera by oneself, typically shared on social media platforms.",1
English,What does “ I'm feeling under the weather” mean？,someone is feeling ill or not in good health,"""I'm feeling under the weather"" is a commonly used idiom that means someone is feeling unwell, sick, or not their usual self. It is often used to describe mild symptoms of illness such as a headache, fatigue, or a cold.",1
