Language,Question,Standard Answer,Generated Answer,generated_data_extracted,
English,"During the peak of the last ice age, northeast Asia (Siberia) and Alaska were connected by a broad land mass called the Bering Land Bridge. This land bridge existed because so much of Earth's water was frozen in the great ice sheets that sea levels were over 100 meters lower than they are today. Between 25,000 and 10,000 years ago, Siberia, the Bering Land Bridge, and Alaska shared many environmental characteristics. These included a common mammalian fauna of large mammals, a common flora composed of broad grasslands as well as wind-swept dunes and tundra, and a common climate with cold, dry winters and somewhat warmer summers. The recognition that many aspects of the modern flora and fauna were present on both sides of the Bering Sea as remnants of the ice-age landscape led to this region being named Beringia. The word ""remnants"" in the passage is closest in meaning A.remains B.evidence C.resultsD.reminders",A,A,A,1
English,"It is through Beringia that small groups of large mammal hunters, slowly expanding their hunting territories, eventually colonized North and South America. On this archaeologists generally agree, but that is where the agreement stops. One broad area of disagreement in explaining the peopling of the Americas is the domain of paleoecologists, but it is critical to understanding human history; what was Beringia like?  The word ""domain"" in the passage is closest in meaning to A.field of expertise B.challenge C.interestD.responsibility",A,A,A,1
English,"The Beringian landscape was very different from what it is today. Broad, windswept valleys; glaciated mountains; sparse vegetation; and less moisture created a rather forbidding land mass. This land mass supported herds of now-extinct species of mammoth, bison, and horse and somewhat modern versions of caribou, musk ox, elk, and saiga antelope. These grazers supported in turn a number of impressive carnivores, including the giant short-faced bear, the saber-tooth cat, and a large species of lion.According to paragraph, all of the following are true of the Beringian landscape EXCEPT:A.There was little vegetation. B.The mammal species there all survived into modern versions.C.The climate was drier than it is today. D.There were mountains with glaciers.",B,B,B,1
English,"The presence of mammal species that require grassland vegetation has led Arctic biologist Dale Guthrie to argue that while cold and dry, there must have been broad areas of dense vegetation to support herds of mammoth, horse, and bison. Further, nearly all of the ice-age fauna had teeth that indicate an adaptation to grasses and sedges; they could not have been supported by a modern flora of mosses and lichens. Guthrie has also demonstrated that the landscape must have been subject to intense and continuous winds, especially in winter. He makes this argument based on the anatomy of horse and bison, which do not have the ability to search for food through deep snow cover. They need landscapes with strong winds that remove the winter snows, exposing the dry grasses beneath. Guthrie applied the term ""mammoth steppe"" to characterize this landscape.The word ""continuous"" in the passage is closest in meaning to A unpredictable B very cold  C dangerous D uninterrupted",D,DUNINTERRUPTED,D,1
English,"The presence of mammal species that require grassland vegetation has led Arctic biologist Dale Guthrie to argue that while cold and dry, there must have been broad areas of dense vegetation to support herds of mammoth, horse, and bison. Further, nearly all of the ice-age fauna had teeth that indicate an adaptation to grasses and sedges; they could not have been supported by a modern flora of mosses and lichens. Guthrie has also demonstrated that the landscape must have been subject to intense and continuous winds, especially in winter. He makes this argument based on the anatomy of horse and bison, which do not have the ability to search for food through deep snow cover. They need landscapes with strong winds that remove the winter snows, exposing the dry grasses beneath. Guthrie applied the term ""mammoth steppe"" to characterize this landscape. According to paragraph , Guthrie believes that the teeth of ice-age fauna support which of the following conclusions?
ALarge mammals would not have been able to survive in the Beringian landscape.
BGrasslands were part of the Beringian landscape.
CStrong winds exposed dry grasses under the snow.
DHorses and bison did not have the ability to search for food through deep snow cover.",B,B,B,1
English,"The presence of mammal species that require grassland vegetation has led Arctic biologist Dale Guthrie to argue that while cold and dry, there must have been broad areas of dense vegetation to support herds of mammoth, horse, and bison. Further, nearly all of the ice-age fauna had teeth that indicate an adaptation to grasses and sedges; they could not have been supported by a modern flora of mosses and lichens. Guthrie has also demonstrated that the landscape must have been subject to intense and continuous winds, especially in winter. He makes this argument based on the anatomy of horse and bison, which do not have the ability to search for food through deep snow cover. They need landscapes with strong winds that remove the winter snows, exposing the dry grasses beneath. Guthrie applied the term ""mammoth steppe"" to characterize this landscape. According to paragraph , which of the following statements is true of the relationship between ice-age Beringian animals and their environment?
AWhen present in sufficient quantities, lichens and mosses provide enough nutrients to satisfy the needs of herds of large mammals.
BThe anatomy of certain animals present in that environment provides information about the intensity of winds there at that time.
CThe structure of the teeth of most ice-age fauna indicates that they preyed on animals such as the mammoth, horse, and bison.
DHorses and bison are large enough that their feet can easily penetrate deep snow and uncover areas where they can feed on plant material.",B,BTHE ANATOMY OF CERTAIN ANIMALS PRESENT IN THAT ENVIRONMENT PROVIDES INFORMATION ABOUT THE INTENSITY OF WINDS THERE AT THAT TIME,B,1
English,"In contrast, Paul Colinvaux has offered a counterargument based on the analysis of pollen in lake sediments dating to the last ice age. He found that the amount of pollen recovered in these sediments is so low that the Beringian landscape during the peak of the last glaciation was more likely to have been what he termed a ""polar desert"" with little or only sparse vegetation. In no way was it possible that this region could have supported large herds of mammals and thus, human hunters. Guthrie has argued against this view by pointing out that radiocarbon analysis of mammoth, horse, and bison bones from Beringian deposits revealed that the bones date to the period of most intense glaciation.According to paragraph , how did Dale Guthrie use the information about radiocarbon analysis of bones from Beringian deposits?
ATo suggest that Colinvaux should have used different methods to measure the amount of pollen in ice-age lake sediments
BTo argue that the large Beringian mammals must have eaten plants that produce little, if any, pollen
CTo show that the conclusions that Colinvaux drew from the analysis of pollen in ice-age lake sediments cannot be correct
DTo explain why so-called polar deserts are incapable of supporting such large animals as mammoth, horse, and bison",C,C,C,1
English,"The argument seemed to be at a standstill until a number of recent studies resulted in a spectacular suite of new finds. The first was the discovery of a 1,000-square-kilometer preserved patch of Beringian vegetation dating to just over 17,000 years ago-the peak of the last ice age. The plants were preserved under a thick ash fall from a volcanic eruption. Investigations of the plants found grasses, sedges, mosses, and many other varieties in a nearly continuous cover, as was predicted by Guthrie. But this vegetation had a thin root mat with no soil formation, demonstrating that there was little long-term stability in plant cover, a finding supporting some of the arguments of Colinvaux. A mixture of continuous but thin vegetation supporting herds of large mammals is one that seems plausible and realistic with the available data.The word ""plausible"" in the passage is closest in meaning to
A preferable
B practical
C reasonable
D advantageous",C,C,C,1
English,"The argument seemed to be at a standstill until a number of recent studies resulted in a spectacular suite of new finds. The first was the discovery of a 1,000-square-kilometer preserved patch of Beringian vegetation dating to just over 17,000 years ago-the peak of the last ice age. The plants were preserved under a thick ash fall from a volcanic eruption. Investigations of the plants found grasses, sedges, mosses, and many other varieties in a nearly continuous cover, as was predicted by Guthrie. But this vegetation had a thin root mat with no soil formation, demonstrating that there was little long-term stability in plant cover, a finding supporting some of the arguments of Colinvaux. A mixture of continuous but thin vegetation supporting herds of large mammals is one that seems plausible and realistic with the available data.Which of the following best describes the organization of paragraph  ?
ATwo contrasting views are presented, and a study that could decide between them is proposed.
BAn argument is offered, and reasons both for and against the argument are presented.
CA claim is made, and a study supporting the claim is described.
DNew information is presented, and the information is used to show that two competing explanations can each be seen as correct in some way.",D,D,D,1
English,"By the eighteenth century, Britain was experiencing a severe shortage of energy. Because of the growth of population, most of the great forests of medieval Britain had long ago been replaced by fields of grain and hay. Wood was in ever-shorter supply, yet it remained tremendously important. It served as the primary source of heat for all homes and industries and as a basic raw material. Processed wood (charcoal) was the fuel that was mixed with iron ore in the blast furnace to produce pig iron (raw iron). The iron industry’s appetite for wood was enormous, and by 1740 the British iron industry was stagnating. Vast forests enabled Russia to become the world’s leading producer of iron, much of which was exported to Britain. But Russia’s potential for growth was limited too, and in a few decades Russia would reach the barrier of inadequate energy that was already holding England back.What can be inferred from paragraph about Britain’s short supply of wood in the eighteenth century?
A.BWood from Britain’s great forests was being exported to other countries for profit.
B.A growing population had required cutting down forests to increase available land for farming.
C.Larger families required the construction of larger homes made from wood.
D.What was left of the great forests after the medieval period was being strictly protected.",B,B,B,1
English,"By the eighteenth century, Britain was experiencing a severe shortage of energy. Because of the growth of population, most of the great forests of medieval Britain had long ago been replaced by fields of grain and hay. Wood was in ever-shorter supply, yet it remained tremendously important. It served as the primary source of heat for all homes and industries and as a basic raw material. Processed wood (charcoal) was the fuel that was mixed with iron ore in the blast furnace to produce pig iron (raw iron). The iron industry’s appetite for wood was enormous, and by 1740 the British iron industry was stagnating. Vast forests enabled Russia to become the world’s leading producer of iron, much of which was exported to Britain. But Russia’s potential for growth was limited too, and in a few decades Russia would reach the barrier of inadequate energy that was already holding England back. according to paragraph, are true statements about Russia’s iron industry in the eighteenth century. 
A Russia reached its maximum production of iron at the same time as Britain.
B Russia exported much of its iron production to Britain.
C Russia’s appetite for iron increased rapidly after 1740.
D Russia’s energy resources eventually became insufficient and limited the growth of its iron industry.",B,D,D,0
English,"As this early energy crisis grew worse, Britain looked toward its abundant and widely scattered reserves of coal as an alternative to its vanishing wood. Coal was first used in Britain in the late Middle Ages as a source of heat. By 1640 most homes in London were heated with it, and it also provided heat for making beer, glass, soap, and other products. Coal was not used, however, to produce mechanical energy or to power machinery. It was there that coal’s potential wad enormous.The word “abundant” in the passage is closest in meaning to
A reliable
B plentiful
C well-preserved
D existing",B,B,B,1
English,"As this early energy crisis grew worse, Britain looked toward its abundant and widely scattered reserves of coal as an alternative to its vanishing wood. Coal was first used in Britain in the late Middle Ages as a source of heat. By 1640 most homes in London were heated with it, and it also provided heat for making beer, glass, soap, and other products. Coal was not used, however, to produce mechanical energy or to power machinery. It was there that coal’s potential wad enormous.Why are “beer, glass, soap, and other products” mentioned in the discussion of Britain’s energy?
ATo help explain why the energy crisis was so severe
BTo show that despite the energy crisis and as early as 1640, London homes were advanced and well supplied
CTo emphasize that after 1640, British homes required energy for more than heat
DTo indicate that coal had been used for the production of certain products before the eighteenth century",D,A,A,0
English,"As more coal was produced, mines were dug deeper and deeper and were constantly filling with water. Mechanical pumps, usually powered by hundreds of horses waling in circles at the surface, had to be installed. Such power was expensive and bothersome. In an attempt to overcome these disadvantages, Thomas Savery in 1698 and Thomas Newcomen in 1705 invented the first primitive steam engines. Both engines were extremely inefficient. Both burned coal to produce steam, which was then used to operate a pump. However, by the early 1770s, many of the Savery engines and hundreds of the Newcomen engines were operating successfully, though inefficiently, in English and Scottish mines.According to paragraph. all of the following are ways in which the Savery and Newcomen engines were similar EXCEPT:
ABoth became relatively inexpensive after the 1770s.
BBoth produced steam by burning coal.
CBoth were used to operate pumps.
DBoth were very inefficient.",A,A_BOTHBECAMERELATIVELYINEXPENSIVEAFTERTHE1770S,A,1
English,"In the early 1760s, a gifted young Scot named James Watt was drawn to a critical study of the steam engine. Watt was employed at the time by the University of Glasgow as a skilled crafts worker making scientific instruments. In 1763, Watt was called on to repair a Newcomen engine being used in a physics course. After a series of observations, Watt saw that the New comen’s waste of energy could be reduced by adding a separate condenser. This splendid invention, patented in 1769, greatly increased the efficiency of the steam engine. The steam engine of Watt and his followers was the technological advance that gave people, at least for a while, unlimited power and allowed the invention and use of all kinds of power equipment.According to paragraph, what was James Watt’s major achievement?
AHe was able to apply his understanding of physics to invent a variety of scientific instruments and tools for skilled crafts workers.
BHe taught university physics courses to outstanding students whose observations led to many patented inventions.
CHe improved the efficiency of Newcomen’s engine by preventing energy from being lost.
DHe redesigned Newcomen’s engine so that it no longer needed a separate condenser.",C,C,C,1
English,"In the early 1760s, a gifted young Scot named James Watt was drawn to a critical study of the steam engine. Watt was employed at the time by the University of Glasgow as a skilled crafts worker making scientific instruments. In 1763, Watt was called on to repair a Newcomen engine being used in a physics course. After a series of observations, Watt saw that the New comen’s waste of energy could be reduced by adding a separate condenser. This splendid invention, patented in 1769, greatly increased the efficiency of the steam engine. The steam engine of Watt and his followers was the technological advance that gave people, at least for a while, unlimited power and allowed the invention and use of all kinds of power equipment.The word “splendid” in the passage is closest in meaning to
A original
B necessary
C magnificent
D popular",c,C,C,1
