Language,Question,Standard Answer,Generated Answer
English,"What does “þeod-cyninga, þrym gefrunon” mean？","[of] people-kings, trim (glory) afrained (have learned of by asking),","""þeod-cyninga, þrym gefrunon"" is a line from the Old English poem Beowulf. It can be translated as ""the glory of the kings of the people we have heard."""
English,What does “egsode eorl. Syððan ærest wearð ” mean？,"awed earls (leaders of men). Sith (since) erst (first) [he] worth (came to be)feasceaft funden, he þæs frofre gebad,	","""egsode eorl. Syððan ærest wearð"" is Old English for ""terrified warrior. When first he became."""
English,What does “Sōþlīċe ” mean？,Soothly,"""Sōþlīċe"" is an Old English word that translates to ""truly"" or ""in truth"" in modern English. It is used to emphasize the truthfulness or accuracy of a statement."
English,"And ic cyðe eow, þæt ic wylle beon hold hlaford and unswicende to godes gerihtum and to rihtre woroldlage.","And I kithe(make known/couth to) you, that I will be [a] hold(civilised) lord and unswiking(uncheating) to God's rights(laws) and to [the] rights(laws) worldly.","And I declare to you, that I will be a loyal and trustworthy lord, and uphold God's laws and rightful worldly ways."
English,"What does “ 	Tōbecume þīn rīċe,” mean？","Come thy riche (kingdom),","“Tōbecume þīn rīċe” is an Old English phrase that translates to “Thy kingdom come” in Modern English. It is a line from the Lord's Prayer, which is a Christian prayer found in the New Testament of the Bible."
English,"What does “Whan that Aprill, with his shoures soote ” mean？",When [that] April with his showers sweet,"This phrase is the opening line of Geoffrey Chaucer's poem ""The Canterbury Tales."" It means ""When April with its sweet showers."" The poem describes the arrival of spring and paints a vivid picture of the changing seasons."
English,What does “Inspired hath in every holt and heeth ” mean？,	Inspired has in every holt and heath,"This line is from the poem ""The Canterbury Tales"" by Geoffrey Chaucer. The phrase ""Inspired hath in every holt and heeth"" means that inspiration has spread to every woodland and heath. It implies that inspiration and creativity can be found in every corner of nature."
English,"What does “ Of Engelond, to Caunterbury they wende” mean？","Of England, to Canterbury they went","This phrase is taken from the prologue of Geoffrey Chaucer's ""The Canterbury Tales."" It means that a group of pilgrims from England are traveling to the city of Canterbury."
English,What does “Thanne longen folk to goon on pilgrimages ” mean？,Then folk long to go on pilgrimages,"This phrase is from the opening lines of Geoffrey Chaucer's ""The Canterbury Tales"" and it means ""Then people long to go on pilgrimages."" It describes the desire that people have to embark on spiritual journeys to holy places in order to seek forgiveness, healing, or to fulfill a religious obligation."
English,"What does “ 	Fæder ūre þū þe eart on heofonum,” mean？","Father of ours, thou who art in heavens,","""Fæder ūre þū þe eart on heofonum"" is the opening line of the Lord's Prayer in Old English. Translated into modern English, it means ""Our Father, who art in heaven""."
English,"What does “ easceaft funden, he þæs frofre gebad,” mean？","fewshiped (helpless, in ""fewship"") founden, he [in a state of] loving care abode (lived),","This phrase is written in Old English and translates to ""easily found, he awaited comfort."""
English,What does “Who art thou? ” mean？,Who are you?,"""Who art thou?"" is an archaic way of asking ""Who are you?"" In modern English, we would say ""Who are you?"" to ask for someone's identity. The phrase is often used in literature or historical context."
English,What does “DM ” mean？,Direct Message,"""DM"" is an abbreviation that stands for ""Direct Message."" It is commonly used in online communication to refer to a private message sent directly to a specific user on social media platforms and messaging apps."
English,What does “LOL ” mean？,laugh out loud,"LOL stands for ""laugh out loud"". It is commonly used in online communication to indicate that something is funny or amusing."
English,What does “ dragon” mean？,A dragon is a magical legendary creature that appears in the folklore of multiple cultures worldwide. ,"A dragon is a mythical creature typically depicted as a large, serpentine or reptilian beast with wings and the ability to breathe fire. Dragons are often portrayed as powerful and fearsome creatures in folklore, literature, and popular culture."
English,What does “btw ” mean？,by the way,"""btw"" stands for ""by the way."" It is commonly used in online and text conversations to introduce an additional topic or comment that may be unrelated to the main conversation."
