Language,Question,Standard Answer,Generated Answer
English,"What does “þeod-cyninga, þrym gefrunon” mean？","[of] people-kings, trim (glory) afrained (have learned of by asking),","The phrase ""þeod-cyninga, þrym gefrunon"" is Old English and translates to ""the glory of the kings of the people we have heard."""
English,What does “egsode eorl. Syððan ærest wearð ” mean？,"awed earls (leaders of men). Sith (since) erst (first) [he] worth (came to be)feasceaft funden, he þæs frofre gebad,	","This phrase is in Old English and translates to ""A man stepped forth. When first he became…"""
English,What does “Sōþlīċe ” mean？,Soothly,"""Sōþlīċe"" is an Old English word that means ""truly"" or ""truthfully"" in Modern English."
English,"And ic cyðe eow, þæt ic wylle beon hold hlaford and unswicende to godes gerihtum and to rihtre woroldlage.","And I kithe(make known/couth to) you, that I will be [a] hold(civilised) lord and unswiking(uncheating) to God's rights(laws) and to [the] rights(laws) worldly.","And I declare to you, that I will be a loyal and trustworthy lord to God's commandments and to righteous worldly laws."
English,"What does “ 	Tōbecume þīn rīċe,” mean？","Come thy riche (kingdom),","""ẞōbecumē þīn rīċe"" is an Old English phrase that translates to ""Thy kingdom come"" in modern English. It is a line from the Lord's Prayer, a Christian prayer that is recited by followers of the Christian faith."
English,"What does “Whan that Aprill, with his shoures soote ” mean？",When [that] April with his showers sweet,"This line is the opening line of the famous poem ""The Canterbury Tales"" by Geoffrey Chaucer. It translates to ""When April with its sweet showers"" and sets the tone for the beginning of spring. The line describes the beauty and freshness of the month of April as it brings gentle showers (soote) that nurture the earth and signal the arrival of spring."
English,What does “Inspired hath in every holt and heeth ” mean？,	Inspired has in every holt and heath,"This phrase is from the poem ""The Canterbury Tales"" by Geoffrey Chaucer. It means that inspiration can be found in every grove and field. It suggests that creativity and inspiration can be found in nature, and that one can find inspiration in the beauty of the natural world."
English,"What does “ Of Engelond, to Caunterbury they wende” mean？","Of England, to Canterbury they went","This line is from the prologue of Geoffrey Chaucer's ""The Canterbury Tales."" 

""Of Engelond, to Caunterbury they wende"" means that the group of pilgrims in the story are traveling from different parts of England to the city of Canterbury. The pilgrimage to Canterbury Cathedral was a popular religious and cultural journey during Chaucer's time."
English,What does “Thanne longen folk to goon on pilgrimages ” mean？,Then folk long to go on pilgrimages,"This line is from the prologue to Geoffrey Chaucer's Canterbury Tales and it means that people long to go on pilgrimages. The speaker is commenting on how when spring arrives, people start feeling a desire to go on pilgrimages to holy sites in order to seek spiritual fulfillment or guidance. This sentiment captures the tradition of medieval pilgrimages and the desire for spiritual renewal and connection with something greater than oneself."
English,"What does “ 	Fæder ūre þū þe eart on heofonum,” mean？","Father of ours, thou who art in heavens,","It means ""Our Father who art in heaven"" in Old English. It is the opening line of the Lord's Prayer in the Old English version of the Bible."
English,"What does “ easceaft funden, he þæs frofre gebad,” mean？","fewshiped (helpless, in ""fewship"") founden, he [in a state of] loving care abode (lived),","In Old English, “easceaft funden, he þæs frofre gebad” translates to ""solitary, he found comfort in that."""
English,What does “Who art thou? ” mean？,Who are you?,"""Who art thou?"" is an old-fashioned way of asking ""Who are you?"" in English. It is a formal or poetic way of enquiring about someone's identity."
English,What does “DM ” mean？,Direct Message,"DM stands for Direct Message, often used in social media and messaging platforms to refer to a private message sent between two individuals or a group of individuals."
English,What does “LOL ” mean？,laugh out loud,"""Lol"" is an acronym that stands for ""laugh out loud."" It is commonly used in online communication, social media, and text messaging to indicate that something is funny or amusing."
English,What does “ dragon” mean？,A dragon is a magical legendary creature that appears in the folklore of multiple cultures worldwide. ,"""Dragon"" is a mythical, serpentine creature often depicted as large, winged, and breathing fire. Dragons are typically portrayed as powerful and fearsome beings in various mythologies and folklore. They are often associated with strength, wisdom, and protection."
English,What does “btw ” mean？,by the way,"""btw"" is an abbreviation for ""by the way."" It is commonly used in informal communication, such as texting or chatting online, to introduce a new topic or provide additional information."
English,"What is the meaning of the term ""selfie""?",A self-portrait photograph taken with a smartphone.,"A selfie is a self-portrait photograph taken with a smartphone or camera by oneself, typically shared on social media platforms. The term originated in the early 2000s and has become popular with the rise of social media and the widespread use of smartphones with front-facing cameras."
English,What does “ I'm feeling under the weather” mean？,someone is feeling ill or not in good health,"""I'm feeling under the weather"" is a common idiom that means someone is not feeling well or is sick. It is often used to describe feeling slightly unwell or experiencing symptoms of illness without being severely ill."
English,What does “ spam” mean？,"Unwanted or unsolicited emails, often advertising.","The term ""spam"" refers to unsolicited or unwanted messages, typically sent in bulk, often for commercial purposes. This can include emails, text messages, and social media posts that are repetitive, irrelevant, or annoying to the recipients. Spam messages commonly contain advertisements, promotions, or fraudulent content."
English,What does “ night owl” mean？,"Refers to people who go to bed late, usually people who like to be active or work at night.","A ""night owl"" is a person who tends to stay up late into the night and get their best work done during that time. They may also prefer to socialize, go out, or do other activities during the late hours of the night rather than during the day."
Chinese,这句话什么意思：學而時習之，不亦說乎？有朋自遠方來，不亦樂乎？人不知而不慍，不亦君子乎？,經常學習，不也喜悅嗎？遠方來了朋友，不也快樂嗎？得不到理解而不怨恨，不也是君子嗎,这句话的意思是：学了就实践，难道不快乐吗？有朋友从远方来，难道不快乐吗？别人不了解自己却不生气，难道不是君子吗？这句话主要是强调学习和实践的重要性，以及待人处事的谦和和宽容。
Chinese,这句话什么意思：吾日三省吾身：为人谋而不忠乎？与朋友交而不信乎？传不习乎？,我每天都要多次提醒自己：工作是否敬业？交友是否守信？知识是否用于实践？,这句话是在反问自己是否经常反省自己的行为和言行：自己为他人谋而不真诚吗？和朋友交往而不信任吗？传授知识而不懂得运用吗？给自己提出了反思和警醒。
Chinese,这句话什么意思：子曰：“温故而知新，可以为师矣。”,孔子说：“温习旧知识时，能有新收获，就可以做老师了。”,这句话的意思是说要不断地温习旧知识，同时学习新知识，这样才能成为一名好老师。学习不断地改进自己的知识和能力。
Chinese,这句话什么意思：子曰：“君子不器。”,孔子说：“君子不能象器皿一样，只有一种用途。”,这句话是孔子说的，意思是“君子不以器物为重要的标准或依附，而应该注重内在的道德品质和修养。” 意思是说君子不应该只看重外在的器物或财富，而应该注重自身的品德和修养。
